Date,Open,High,Low,Close,Adj Close,Volume
2015-12-05,2.4,2.4,2.2,2.2,2.2,0
2015-12-06,2.2,2.25,2.19,2.25,2.25,19
2015-12-07,2.22,2.38,2.0,2.0,2.0,14
2015-12-08,2.15,2.15,2.15,2.15,2.15,0
2015-12-09,2.15,2.4,2.13,2.13,2.13,183
2015-12-10,2.13,2.34,2.13,2.33,2.33,7
2015-12-11,2.33,2.34,2.09,2.34,2.34,69
2015-12-12,2.34,2.4,2.34,2.4,2.4,57
2015-12-13,2.4,2.5,2.24,2.5,2.5,44
2015-12-14,2.5,2.59,2.46,2.5,2.5,16
2015-12-15,2.5,2.57,2.45,2.45,2.45,0
2015-12-16,2.55,2.55,2.52,2.52,2.52,57
2015-12-17,2.35,2.57,2.35,2.57,2.57,32
2015-12-18,2.44,2.44,2.44,2.44,2.44,13
2015-12-19,2.6,2.7,2.54,2.54,2.54,0
2015-12-20,2.5,2.5,2.5,2.5,2.5,3
2015-12-21,2.52,2.69,2.4,2.4,2.4,11
2015-12-22,2.3,2.33,2.26,2.33,2.33,12
2015-12-23,2.58,2.64,2.47,2.47,2.47,184
2015-12-24,2.57,2.57,2.21,2.21,2.21,1624
2015-12-25,2.75,3.0,2.5,2.51,2.51,359
2015-12-26,2.57,2.65,2.55,2.65,2.65,7
2015-12-27,2.38,2.38,2.38,2.38,2.38,0
2015-12-28,2.33,2.33,2.33,2.33,2.33,0
2015-12-29,2.7,2.79,2.4,2.57,2.57,91
2015-12-30,2.76,3.08,2.76,2.92,2.92,134
2015-12-31,2.92,3.18,2.7,2.7,2.7,36
2016-01-01,2.7,3.18,2.7,3.18,3.18,63
2016-01-02,2.78,3.0,2.73,3.0,3.0,4
2016-01-03,2.71,2.8,2.71,2.8,2.8,0
2016-01-04,2.8,2.98,2.7,2.7,2.7,52
2016-01-05,2.7,2.99,2.7,2.96,2.96,0
2016-01-06,2.9,2.9,2.8,2.8,2.8,0
2016-01-07,2.7,2.83,2.59,2.59,2.59,1
2016-01-08,2.75,2.95,2.64,2.64,2.64,35
2016-01-09,2.64,3.0,2.49,2.49,2.49,32
2016-01-10,2.28,2.95,2.2,2.95,2.95,162
2016-01-11,2.95,2.95,2.38,2.46,2.46,3
2016-01-12,2.57,2.59,2.52,2.55,2.55,332
2016-01-13,2.55,2.55,2.39,2.39,2.39,0
2016-01-14,2.75,2.95,2.75,2.95,2.95,556
2016-01-15,3.65,3.65,3.22,3.5,3.5,53
2016-01-16,3.5,4.1,3.22,3.5,3.5,248
2016-01-17,3.5,5.0,3.5,5.0,5.0,289
2016-01-18,5.0,5.0,4.15,4.75,4.75,3445
2016-01-19,4.75,4.93,3.86,4.1,4.1,153
2016-01-20,4.1,4.73,3.86,4.6,4.6,61
2016-01-21,4.6,5.0,4.6,5.0,5.0,356
2016-01-22,5.0,5.9,4.58,5.88,5.88,732
2016-01-23,5.88,5.88,3.7,3.7,3.7,772
2016-01-24,3.7,5.5,3.7,4.9,4.9,237
2016-01-25,4.9,4.9,3.51,3.51,3.51,413
2016-01-26,3.51,4.7,3.51,4.7,4.7,102
2016-01-27,4.7,4.7,4.02,4.02,4.02,6
2016-01-28,4.02,4.34,4.02,4.02,4.02,20
2016-01-29,4.02,4.7,4.02,4.31,4.31,6
2016-01-30,4.31,4.31,4.02,4.02,4.02,0
2016-01-31,4.02,4.8,3.56,4.8,4.8,13
2016-02-01,4.8,4.8,3.56,3.56,3.56,0
2016-02-02,3.56,3.66,3.56,3.66,3.66,0
2016-02-03,3.66,4.12,3.66,3.9,3.9,0
2016-02-04,3.9,4.8,3.71,4.8,4.8,0
2016-02-05,4.8,4.8,3.99,4.6,4.6,21
2016-02-06,4.6,4.6,3.99,4.0,4.0,23
2016-02-07,4.0,4.2,3.99,4.2,4.2,105
2016-02-08,4.16,4.3,4.05,4.3,4.3,774
2016-02-09,4.3,4.3,4.01,4.01,4.01,1495
2016-02-10,4.01,4.09,3.85,4.08,4.08,114
2016-02-11,4.08,4.11,3.25,3.25,3.25,486
2016-02-12,3.25,4.16,3.25,3.8,3.8,224
2016-02-13,3.8,3.92,3.61,3.61,3.61,372
2016-02-14,3.61,3.92,3.61,3.7,3.7,27
2016-02-15,3.7,4.1,3.61,4.09,4.09,301
2016-02-16,4.09,4.09,3.7,3.7,3.7,1182
2016-02-17,3.7,3.9,3.48,3.9,3.9,199
2016-02-18,3.9,3.9,3.1,3.72,3.72,180
2016-02-19,3.72,3.72,3.51,3.58,3.58,29
2016-02-20,3.58,3.69,3.42,3.49,3.49,60
2016-02-21,3.49,4.25,3.49,4.1,4.1,1974
2016-02-22,4.1,4.22,3.79,4.22,4.22,10
2016-02-23,4.22,4.22,3.78,3.78,3.78,112
2016-02-24,3.78,4.19,3.71,4.0,4.0,206
2016-02-25,4.0,4.0,3.4,3.48,3.48,1056
2016-02-26,3.48,4.0,3.48,3.75,3.75,3449
2016-02-27,3.75,4.05,3.75,4.05,4.05,120
2016-02-28,4.05,4.1,3.81,4.0,4.0,168
2016-02-29,4.0,4.04,3.82,4.04,4.04,113
2016-03-01,4.04,4.05,3.85,3.99,3.99,471
2016-03-02,3.99,4.03,3.83,3.84,3.84,265
2016-03-03,3.84,4.6,3.8,4.6,4.6,783
2016-03-04,4.6,5.5,3.83,3.98,3.98,897
2016-03-05,3.98,5.5,3.98,4.71,4.71,225
2016-03-06,4.71,5.05,4.36,4.9,4.9,272
2016-03-07,4.9,4.9,4.28,4.28,4.28,280
2016-03-08,4.28,4.59,3.96,4.57,4.57,40
2016-03-09,4.57,4.89,4.26,4.27,4.27,153
2016-03-10,4.27,5.2,4.27,4.78,4.78,538
2016-03-11,4.78,5.3,4.78,5.05,5.05,289
2016-03-12,5.05,5.34,4.9,5.32,5.32,470
2016-03-13,5.32,6.02,5.26,5.45,5.45,2234
2016-03-14,5.45,5.9,5.32,5.47,5.47,492
2016-03-15,5.47,5.85,5.3,5.81,5.81,373
2016-03-16,5.81,6.55,5.71,6.27,6.27,11657
2016-03-17,6.27,6.41,5.65,5.81,5.81,385
2016-03-18,1.0,6.1,5.66,5.88,5.88,5715
2016-03-19,5.88,6.1,5.88,6.0,6.0,4044
2016-03-20,6.0,6.15,5.8,5.9,5.9,3385
2016-03-21,5.9,6.4,5.9,6.2,6.2,7192
2016-03-22,6.2,6.22,5.9,6.0,6.0,5485
2016-03-23,6.0,6.77,5.98,6.32,6.32,8122
2016-03-24,6.32,6.77,6.26,6.71,6.71,7330
2016-03-25,6.71,7.96,6.7,7.95,7.95,12705
2016-03-26,7.95,7.95,7.0,7.11,7.11,4262
2016-03-27,7.11,7.35,6.8,7.16,7.16,4699
2016-03-27,7.16,7.49,6.42,7.06,7.06,5593
2016-03-28,7.06,7.24,6.9,6.93,6.93,5165
2016-03-29,6.93,7.28,6.9,7.0,7.0,4807
2016-03-30,7.0,7.05,6.72,6.98,6.98,4040
2016-03-31,6.98,7.05,6.69,7.05,7.05,4922
2016-04-01,7.05,7.19,6.97,7.13,7.13,7042
2016-04-02,7.13,7.13,6.65,6.93,6.93,7959
2016-04-03,6.93,7.02,6.82,6.92,6.92,5009
2016-04-04,6.92,7.42,6.92,7.22,7.22,6016
2016-04-05,7.22,7.3,6.95,6.95,6.95,5837
2016-04-06,6.95,7.09,6.89,7.01,7.01,5275
2016-04-07,7.01,7.03,6.89,6.95,6.95,5238
2016-04-08,6.95,7.03,6.28,6.6,6.6,7901
2016-04-09,6.6,7.0,6.13,6.55,6.55,6152
