Date,Open,High,Low,Close,Adj Close,Volume
2015-12-05,3.33,3.53,3.33,3.48,3.48,984293
2015-12-06,3.48,3.58,3.38,3.44,3.44,1462477
2015-12-07,3.44,3.64,3.37,3.56,3.56,1499939
2015-12-08,3.56,3.64,3.48,3.63,3.63,622549
2015-12-09,3.63,3.71,3.53,3.62,3.62,2013330
2015-12-10,3.62,3.66,3.54,3.63,3.63,711180
2015-12-11,3.63,3.81,3.6,3.76,3.76,2114777
2015-12-12,3.76,3.91,3.44,3.54,3.54,2488966
2015-12-13,3.54,3.58,3.46,3.54,3.54,247176
2015-12-14,3.54,3.59,3.5,3.55,3.55,344302
2015-12-15,3.55,3.79,3.55,3.76,3.76,1381836
2015-12-16,3.76,3.79,3.55,3.63,3.63,1125346
2015-12-17,3.63,3.73,3.6,3.71,3.71,649234
2015-12-18,3.71,3.78,3.67,3.73,3.73,508845
2015-12-19,3.73,3.77,3.63,3.7,3.7,339087
2015-12-20,3.7,3.7,3.43,3.51,3.51,971737
2015-12-21,3.51,3.52,3.38,3.41,3.41,704823
2015-12-22,3.41,3.45,3.37,3.39,3.39,262880
2015-12-23,3.39,3.58,3.39,3.55,3.55,643111
2015-12-24,3.55,3.66,3.55,3.61,3.61,630958
2015-12-25,3.61,3.65,3.54,3.59,3.59,329124
2015-12-26,3.59,3.6,3.33,3.4,3.4,1505410
2015-12-27,3.4,3.51,3.36,3.48,3.48,572216
2015-12-28,3.48,3.53,3.44,3.46,3.46,332179
2015-12-29,3.46,3.53,3.42,3.5,3.5,595670
2015-12-30,3.5,3.52,3.42,3.46,3.46,332259
2015-12-31,3.46,3.49,3.39,3.47,3.47,327371
2016-01-01,3.47,3.52,3.44,3.49,3.49,234474
2016-01-02,3.49,3.51,3.43,3.49,3.49,183232
2016-01-03,3.49,3.49,3.42,3.47,3.47,307436
2016-01-04,3.47,3.5,3.45,3.49,3.49,269308
2016-01-05,3.49,3.49,3.44,3.46,3.46,209387
2016-01-06,3.46,3.47,3.43,3.45,3.45,169065
2016-01-07,3.45,3.59,3.44,3.59,3.59,917686
2016-01-08,3.59,3.61,3.51,3.56,3.56,542810
2016-01-09,3.56,3.57,3.52,3.54,3.54,341388
2016-01-10,3.54,3.56,3.46,3.53,3.53,392514
2016-01-11,3.53,3.63,3.51,3.55,3.55,584237
2016-01-12,3.55,3.57,3.5,3.52,3.52,244206
2016-01-13,3.52,3.55,3.43,3.48,3.48,800956
2016-01-14,3.48,3.49,3.44,3.45,3.45,215301
2016-01-15,3.45,3.47,3.1,3.14,3.14,1852465
2016-01-16,3.14,3.15,2.89,3.06,3.06,1711579
2016-01-17,3.06,3.13,3.01,3.02,3.02,499580
2016-01-18,3.02,3.06,2.95,3.04,3.04,678148
2016-01-19,3.04,3.05,2.97,3.02,3.02,343880
2016-01-20,3.02,3.44,2.96,3.36,3.36,1549233
2016-01-21,3.36,3.41,3.13,3.22,3.22,902528
2016-01-22,3.22,3.24,3.04,3.08,3.08,789895
2016-01-23,3.08,3.17,3.06,3.11,3.11,407628
2016-01-24,3.11,3.22,3.07,3.17,3.17,329817
2016-01-25,3.17,3.18,3.09,3.12,3.12,345043
2016-01-26,3.12,3.18,3.09,3.13,3.13,214504
2016-01-27,3.13,3.32,3.12,3.28,3.28,689955
2016-01-28,3.28,3.29,3.07,3.08,3.08,455758
2016-01-29,3.08,3.13,3.02,3.1,3.1,468161
2016-01-30,3.1,3.11,3.04,3.06,3.06,161823
2016-01-31,3.06,3.11,3.04,3.06,3.06,150133
2016-02-01,3.06,3.11,3.02,3.07,3.07,249117
2016-02-02,3.07,3.1,3.05,3.07,3.07,161779
2016-02-03,3.07,3.1,3.0,3.04,3.04,237226
2016-02-04,3.04,3.19,3.03,3.14,3.14,455976
2016-02-05,3.14,3.16,3.07,3.13,3.13,177114
2016-02-06,3.13,3.17,3.06,3.09,3.09,375727
2016-02-07,3.09,3.13,3.06,3.09,3.09,179472
2016-02-08,3.09,3.11,3.05,3.06,3.06,187126
2016-02-09,3.06,3.09,3.04,3.08,3.08,173971
2016-02-10,3.08,3.13,3.05,3.1,3.1,247212
2016-02-11,3.1,3.11,3.02,3.04,3.04,201884
2016-02-12,3.04,3.12,3.05,3.09,3.09,131886
2016-02-13,3.09,3.14,3.09,3.12,3.12,228949
2016-02-14,3.12,3.2,3.11,3.19,3.19,306615
2016-02-15,3.19,3.22,3.13,3.14,3.14,284556
2016-02-16,3.14,3.23,3.09,3.18,3.18,248410
2016-02-17,3.18,3.26,3.01,3.23,3.23,484331
2016-02-18,3.23,3.27,3.18,3.23,3.23,314637
